File Name,EUI,Floor Area,Common Area,Hours,Days,Calc Hours,Input Hours,Office,Shopping,BOH,Restaurant,Car Park,Others,Occupation Date,Audit Year,Number of Floors,Facade,Occupation Density,# Chillers,Chiller Capacity,Chiller COP,#AC Units,AC Capacity,LPD,Total Lighting Power (kW), Electricty Consumption last year ,Electricty Consumption 2 years ago,Electricy Consumption 3 years ago,Non-E 1,Non-E 2,Non-E 3,EUI 2 years ago,EUI 3 years ago,AC Last year,Lighting Last year,Lift Last year,Others Last year,Total,Central BS to Units,CWP,"Condenser Water Pumps
(W/l/s)",Heat Rejection Fan Performance,AC Fan Performance,Central Mechanical Fan Performance (W per L/s),Rated Lift Power (kW),Pumps (kW),Setpoint,Centralized,Central air-conditioning ,Cooling (for heat rejection),AHU,FCU,Unitary AC,Batch,Data Centre,Owner/Tenant,
FormEE-EAes_0139.pdf,543.71,21987.27,3302.49,9.47,7,66.26,66.26,0.98,0.00,0.02,0.00,0.00,,2001,2012,15,Curtain wall,,3,4256.00,5.20,4,29.11,12.40,40.96,3318832.54,3252795.68,3274074.71,6840.00,6840.00,6840.00,532.89,536.38,9421581.21,641879.71,1211008.79,1119480.66,12393950.37,0.64,1036.40,583.65,,1.60,0.60,276.00,28.00,24,1.00,1.00,SW,0,1,0,5,0,,
FormEE-EAes_0141.pdf,2429.10,1746.00,386.39,12.00,5,60.00,60.00,0.72,0.00,0.28,0.00,0.00,,1998,2012,3,Non-curtain wall,33,2,619.00,2.60,5,26.50,12.63,22.06,1178113.50,937257.26,620792.70,0.00,0.00,0.00,1932.49,1279.98,2573150.00,232657.20,,1435384.80,4241192.00,0.00,556.59,,,0.69,0.41,,,22,1.00,1.00,A,0,1,0,5,0,,
FormEE-EAes_0142.pdf,362.58,27185.80,10727.52,14.56,7,101.95,108,0.71,0.01,0.16,0.02,0.08,0.02,2007,2012,33,Curtain wall,,3,3437.58,5.11,6,102.00,7.09,76.04,2735092.00,2892110.00,2942530.00,10640.00,10640.00,10640.00,383.37,390.05,6940660.02,1247952.62,910367.53,757991.03,9856971.20,0.53,545.45,444.44,91.67,1.74,1.63,487.00,75.50,0,1.00,0.50,FW,0,1,0,5,0,,
FormEE-EAes_0144.pdf,367.58,22150.05,3063.35,11.07,7,77.50,76,0.91,0.00,0.07,0.00,0.00,0.02,2007,2012,17,Curtain wall,,3,3480.00,5.22,0,0.00,11.34,34.74,2261670.55,2257904.02,2430746.55,0.00,0.00,0.00,366.97,395.06,6120248.40,589111.16,954489.60,478164.82,8142013.98,0.73,544.12,671.64,9.32,1.86,0.71,554.00,108.00,25,1.00,0.50,FW,0,1,0,5,0,,
FormEE-EAes_0148.pdf,434.55,10735.56,1210.97,15.00,7,105.00,105.00,0.58,0.31,0.05,0.06,0.00,,1991,2012,20,Curtain wall,,3,2869.70,2.90,2,7.65,6.76,8.19,1294540.94,1303640.16,1122736.41,4788.00,4788.00,4788.00,437.60,376.94,3694244.09,169122.79,635541.08,166227.42,4665135.38,0.74,897.96,,45.79,0.52,0.15,190.00,25.40,0,1.00,1.00,A,0,1,1,5,0,,
FormEE-EAes_0149.pdf,63.70,2376.61,377.64,11.00,7,77.00,77.00,0.86,0.00,0.14,0.00,0.00,,1994,2012,1,Non-curtain wall,,0,0.00,0.00,3,22.97,8.88,3.35,41543.68,44353.68,51173.68,1824.00,1824.00,1824.00,67.95,78.28,64744.77,37556.99,0.00,49079.50,151381.26,,,,,,0.26,0.00,6.00,0,0,0.0,,0,0,1,5,0,,
FormEE-EAes_0154.pdf,783.00,17101.00,0.00,10.00,5,50.00,50.00,0.47,0.00,0.05,0.00,0.00,,1966,2012,9,Non-curtain wall,23,5,2672.50,3.42,7,147.50,3.88,66.37,3719349.00,3755574.00,4088111.00,0.00,0.00,0.00,791.00,861.00,10039075.20,621961.20,364824.00,2363792.40,13389652.80,0.00,667.36,236.85,115.79,11.18,0.09,225.70,0.00,23,1.00,1.00,A,0,1,0,5,0,,
FormEE-EAes_0155.pdf,360.37,59113.00,5414.75,12.00,6,72.00,72.00,0.93,0.00,0.05,0.03,0.00,,1998,2012,30,Curtain wall,,7,9974.00,4.91,7,99.10,9.54,51.67,5917386.44,6955427.96,7751999.11,0.00,0.00,0.00,423.59,472.10,13509301.68,763578.00,6941073.60,88637.90,21302591.18,0.93,287.88,393.38,7.37,0.97,0.00,707.97,2.95,24,1.00,3.00,A / FW,1,1,0,5,0,,
FormEE-EAes_0156.pdf,379.82,57208.00,3958.79,10.68,7,74.79,72.00,0.93,0.00,0.04,0.03,0.00,,1998,2012,30,Curtain wall,,7,9799.00,4.46,6,84.60,7.58,30.01,6035757.32,7094563.73,7907069.42,0.00,0.00,0.00,446.45,497.58,13779540.72,394664.40,6941073.60,613447.63,21728726.35,0.96,348.48,449.57,7.37,0.98,0.00,731.65,4.45,24,1.00,3.00,A / FW,1,1,0,5,0,,
FormEE-EAes_0169.pdf,412.86,15500.00,6928.50,12.65,7,88.55,84.00,0.65,0.00,0.18,0.00,0.17,,2004,2012,26,Curtain wall,,4,3514.00,3.08,7,36.90,6.61,45.81,1777576.00,1816302.00,1781859.00,0.00,0.00,0.00,421.85,413.85,4307558.40,656031.60,1362837.60,72846.00,6399273.60,0.51,550.60,0.00,0.00,1.36,0.00,225.70,14.00,24,1.00,0.50,A,1,0,1,5,0,,
FormEE-EAes_0170.pdf,568.82,26600.00,12680.22,14.90,7,104.29,84.00,0.56,0.00,0.11,0.00,0.32,,1999,2012,29,Curtain wall,,4,4328.00,3.00,11,72.80,4.33,55.66,4202972.00,3890960.00,3804123.00,0.00,0.00,0.00,526.60,514.84,10123844.40,871402.70,3400369.20,735082.90,15130699.20,0.51,638.30,0.00,0.00,0.74,0.46,253.20,31.25,24,1.00,0.50,A,1,1,0,5,0,,
FormEE-EAes_0171.pdf,726.55,118431.78,46437.10,13.54,7,94.77,61.00,0.48,0.17,0.16,0.08,0.10,,1993,2012,28,Curtain wall,,21,20803.08,3.05,18,153.73,10.95,508.61,23900096.00,24472729.00,23711800.00,5737.00,5737.00,5737.00,743.95,720.82,65680652.47,9458744.63,3301452.00,7605233.50,86046082.60,0.48,390.18,0.00,0.00,0.52,0.82,818.00,151.30,24.4,1.00,0.50,A,1,1,0,5,0,,
FormEE-EAes_0172.pdf,564.27,117682.00,38023.05,12.83,7,89.81,60.00,0.69,0.06,0.11,0.01,0.14,,2007,2012,25,Curtain wall,,8,22776.00,5.63,38,578.00,7.27,276.40,18445753.22,18224254.51,15899279.57,0.00,0.00,0.00,557.50,486.37,48420425.00,8031791.00,8355060.00,1597435.00,66404711.00,0.65,509.53,525.31,53.79,0.55,0.85,1619.00,69.20,23,1.00,0.50,A/FW,1,1,0,5,0,,
FormEE-EAes_0173.pdf,736.55,3179.29,704.21,17.71,7,124.00,124.00,0.57,0.07,0.18,0.18,0.00,,2007,2012,25,Curtain wall,,3,412.00,2.77,1,2.64,6.91,4.87,649970.00,642450.00,624510.00,1824.00,1824.00,1824.00,728.04,707.72,1908830.41,103589.53,168648.26,160647.79,2341715.99,0.81,840.91,0.00,34.31,1.25,0.39,51.30,269.75,0,1.00,1.00,A,0,1,0,5,0,,
FormEE-EAes_0181.pdf,144.11,29817.00,11628.63,14.27,7,99.87,66.00,0.66,0.02,0.12,,0.19,0.03,2012,2012,30,Curtain wall,20,0,0.00,0.00,55,285.60,3.26,33.54,1193620.00,97010.00,0.00,0.00,0.00,0.00,11.71,,2860853.00,531766.00,491651.00,412763.00,4297033.00,0.46,0.00,370.00,109.09,0.83,0.52,252.00,78.10,25,0.00,,,,,,5,0,,
FormEE-EAes_0189.pdf,464.43,10149.25,4681.85,13.52,7,94.65,58.00,0.59,0.02,0.31,0.08,0.00,,2009,2012,27,Curtain wall,,3,573.00,2.87,26,174.80,10.26,48.05,1309325.00,1396004.00,1125700.00,0.00,0.00,0.00,495.17,399.29,2728339.16,987460.12,413623.26,584147.46,4713570.00,0.34,439.56,0.00,0.00,1.10,0.79,124.70,74.00,25.5,1.00,0.50,A,0,0,0,5,0,,
FormEE-EAes_0191.pdf,452.73,102897.94,35016.17,10.57,7,73.96,57.50,0.71,0.02,0.16,0.00,0.11,,1995,2012,23,Curtain wall,,6,4936.00,4.56,15,8.50,4.97,174.16,12940413.99,12488375.36,13279823.11,0.00,0.00,0.00,436.92,464.61,40515060.72,2896653.71,2644062.22,529713.73,46585490.38,1.00,448.49,373.70,0.00,0.95,0.84,640.10,203.20,23,1.00,0.50,SW/FW,1,1,0,5,0,,
FormEE-EAes_0196.pdf,527.58,613.00,0.00,8.50,5,42.50,42.50,0.62,0.00,0.38,0.00,0.00,,,2012,5,Non-curtain wall,,0,0.00,0.00,16,112.66,18.99,11.64,89836.00,83432.00,77887.00,,,,489.98,457.41,140603.00,77688.00,102755.00,2363.00,323409.00,,0.00,0.00,0.00,0.00,0.00,11.00,1.50,0,1.00,0.00,,0,0,0,5,0,,
FormEE-EAes_0199.pdf,479.37,6046.00,1088.28,13.33,7,93.28,84.00,0.89,0.00,0.11,0.00,0.00,,1993,2012,2,Curtain wall,11,2,1530.00,4.47,0,0.00,15.93,6.31,805081.00,818220.00,883602.00,,,,487.20,526.13,2757127.00,109814.00,31351.00,,2898292.00,0.78,716.91,0.00,0.00,0.67,0.19,9.50,0.00,0,1.00,1.00,A,0,1,0,5,0,,
FormEE-EAes_0206.pdf,400.66,77758.50,29361.61,12.80,7,89.61,61.00,0.73,0.00,0.27,0.00,0.00,,2004,2012,54,Curtain wall,,5,10740.00,5.20,9,69.20,9.34,243.05,8654022.00,8849258.00,8795808.00,,,,409.70,407.22,,,,,,,666.67,519.97,188.88,1.60,0.99,1277.00,170.70,24,1.00,0.00,FW,1,0,0,5,0,,
FormEE-EAes_0208.pdf,470.23,127748.00,20439.68,12.46,7,87.20,62.50,0.75,0.00,0.06,0.00,0.18,,2008,2012,70,Curtain wall,,18,29880.00,6.79,0,0.00,3.51,124.30,16686458.00,16457400.00,14414259.00,,,,463.78,406.20,43852011.62,7809262.42,4204987.34,4204987.42,60071248.80,0.75,651.19,529.83,104.91,2.59,1.10,1922.30,0.00,22,1.00,1.00,FW,1,0,0,5,0,,
FormEE-EAes_0213.pdf,1601.83,36584.87,36584.87,24.00,7,168.00,168.00,0.90,0.00,0.10,0.00,0.00,,2002,2012,12,Curtain wall,30,0,0.00,0.00,0,0.00,12.18,445.46,16278526.00,15502487.00,14836450.00,,,,1525.47,1459.93,7076528.28,7419574.58,420480.00,43686110.88,58602693.74,0.00,0.00,0.00,0.00,1.07,1.07,395.30,37.50,24.5,1.00,1.00,,1,1,0,5,0,,
FormEE-EAes_0216.pdf,1335.10,28293.60,28293.60,16.44,7,115.09,63.00,0.50,0.00,0.10,0.00,0.40,,2002,2012,5,Non-curtain wall,,0,0.00,0.00,0,0.00,7.36,208.27,10492979.00,10231981.00,10890743.00,,,,1301.89,1385.71,10454562.36,9339512.40,96579.00,17884070.28,37774724.04,0.00,0.00,0.00,0.00,2.03,15.13,87.00,16.15,0,1.00,0.50,,1,1,0,5,0,,
FormEE-EAes_0217.pdf,436.45,6098.90,1124.64,11.28,7,78.98,63.50,0.84,0.00,0.15,0.00,0.00,,1983,2012,25,Non-curtain wall,13,6,1080.00,3.39,2,8.88,8.45,15.18,739405.00,607305.00,552838.00,0.00,0.00,0.00,358.47,326.32,1954149.00,272644.00,318038.00,76240.00,2621071.00,0.65,729.54,500.00,158.55,0.00,0.00,60.00,0.00,21,1.00,0.50,A/FW,0,1,0,5,0,,
303.pdf,639.07,171688.50,20362.26,14.94,7,104.59,74.00,0.45,0.17,0.19,0.05,0.13,0.02,2004,2013,48,Curtain wall,26,27,33291.00,3.12,28,179.20,2.99,327.35,30478253.00,31281206.00,32159904.00,,,,655.91,674.34,82965853.94,11163235.18,7361070.12,8231551.52,109721710.76,0.93,7452.83,0.00,0.00,0.86,0.45,1684.30,223.60,0,1.00,0.50,A,1,1,0,6,0,,
AH EE-EAes.pdf   ,744.32,46635.00,11304.32,7.34,7,51.38,51.38,0.73,0.11,0.11,0.04,0.01,,1978,2013,38,Non-curtain wall,,5,10551.00,4.64,0,0.00,13.95,157.69,9639965.00,9444361.00,9587728.00,7469.00,7469.00,7469.00,729.22,740.29,22718578.00,3404884.00,5652519.00,2935361.00,34711342.00,0.50,387.93,287.71,,3.41,1.27,629.00,646.40,24.25,1.00,1.00,SW,1,0,0,7,1,,
Energy Audit Reports Compilation 1f.pdf,220.67,55553.41,21821.38,10.29,7,72.00,72.00,0.69,0.00,0.03,0.00,0.24,,1993,2013,19,Curtain wall,,2,4220.40,5.64,4,24.00,3.80,83.45,3405254.99,3509600.23,3489202.39,,,,227.43,226.11,7516915.13,1928477.65,698331.07,2114927.13,12258650.98,0.48,909.09,308.33,12.15,0.98,1.38,220.00,9.00,23,1.00,0.00,FE,0,1,0,7,0,,
Energy Audit Reports Compilation 1i.pdf,397.78,28914.00,7517.64,12.00,6,72.00,84.00,0.75,0.15,0.09,0.00,0.01,,1993,2013,28,Curtain wall,,8,3972.60,2.98,31,110.54,6.43,47.97,3194874.00,3343722.00,3537955.00,,,,416.32,440.50,9585697.00,808694.00,1056184.00,49971.00,11500546.00,0.62,,,,,,1669.00,37.00,0,1.00,1.00,A,0,1,0,7,0,,
Energy Audit Reports Compilation 1j.pdf,524.69,9625.00,1828.75,16.53,7,115.71,105.00,0.83,0.00,0.17,0.00,,,2005,2013,29,Curtain wall,,3,1359.50,3.21,4,73.74,17.61,31.82,1402830.00,1516520.00,1695310.00,,,,567.22,634.09,4088651.00,556598.00,384840.00,20099.00,5050188.00,0.66,199.24,,,1463.75,3.66,72.00,48.80,0,1.00,1.00,A,0,1,0,7,0,,
Energy Audit Reports Compilation 2a.pdf,58.82,97476.64,34146.07,10.27,7,71.86,61.00,0.67,0.03,0.17,0.01,0.13,,,2013,27,Curtain wall,,5,12292.00,5.88,0,0.00,2.55,87.02,1592749.72,1157848.79,53007.93,0.00,0.00,0.00,42.76,1.96,524768.02,633511.91,150047.46,127419.98,1435747.37,0.35,483.37,528.74,121.93,0.65,0.95,1190.00,,22,1.00,1.00,FE,1,1,0,7,0,,
Energy Audit Reports Compilation 2e.pdf,99.57,2563.00,692.01,13.89,7,97.20,84.00,0.74,0.10,0.16,,,,,2013,22,Non-curtain wall,,0,0.00,0.00,1,5.00,4.85,3.41,70886.00,68226.00,,,,,95.83,,82601.00,82274.00,80603.00,9712.00,255190.00,0.00,,,,,,,,0,0.00,0.00,,0,0,0,7,0,,
Energy Audit Reports Compilation 2i.pdf,463.86,4474.57,1006.78,11.98,7,83.89,66.00,0.78,0.08,0.14,,,,1994,2013,22,Non-curtain wall,,2,914.96,2.97,0,0.00,5.14,5.42,576550.00,585670.00,546960.00,0.00,0.00,0.00,471.20,440.05,1797158.88,150375.92,58032.00,70013.20,2075580.00,0.85,628.57,,,0.27,,11.00,16.37,0,1.00,0.00,A,0,1,0,7,0,,
ET EE-EAes.pdf   ,625.94,59204.65,0.00,14.49,7,101.41,101.41,0.58,0.18,0.22,0.01,0.01,,1983,2014,47,Non-curtain wall,,2,13363.46,5.42,9,292.20,6.83,104.06,10294041.07,10954399.39,11119136.99,0.00,0.00,0.00,666.09,676.11,27593885.97,1412225.62,6821811.36,1230624.91,37058547.86,0.55,363.25,,,1.41,1.21,857.40,166.10,24,1.00,1.00,SW,1,0,0,7,0,,
Form EE-EAes - Office Building.pdf,383.09,63929.00,7671.48,11.52,7,80.66,80.66,0.74,0.00,0.06,0.03,0.17,,2010,2013,32,Curtain wall,9,5,4937.00,4.57,0,0.00,8.72,557.40,6802907.00,6109295.00,4310750.00,,,,344.03,242.75,15184356.92,7347331.35,979388.46,979388.46,24490465.19,0.01,799.87,397.31,100.00,8.22,1.12,99.00,,25,1.00,,A / FW,,,,7,0,,
JH EE-EAes.pdf   ,475.03,89319.00,25866.78,17.00,7,119.00,119.00,0.79,0.01,0.16,0.04,0.00,,1974,2013,53,Non-curtain wall,,4,13787.00,4.69,0,0.00,12.92,334.31,11772290.00,11988050.00,11594990.00,48564.00,39514.00,49495.00,483.62,467.89,27907848.00,5169092.00,6763190.00,2588677.00,42428807.00,0.56,808.00,,,1.79,2.36,1472.00,393.60,24.25,1.00,1.00,SW,1,1,0,7,1,,
PB EE-EAes.pdf   ,475.98,54398.00,3884.02,12.00,7,84.00,84.00,0.71,0.22,0.04,0.03,,,1965,2013,29,Non-curtain wall,,5,10376.00,5.74,0,0.00,33.15,128.81,7188467.00,7376238.00,7456108.00,13788.00,13788.00,13788.00,488.40,493.69,14945616.00,3779406.00,2724947.00,4442300.00,25892269.00,0.54,677.49,256.35,,32.70,3.00,492.40,273.00,24.25,1.00,1.00,SW,1,0,0,7,1,,
YH_EE-EAes.pdf    ,568.94,24629.19,0.00,14.69,7,102.85,88.00,0.44,0.20,0.25,0.04,0.07,,2006,2013,27,Curtain wall,,0,0.00,0.00,0,0.00,10.99,105.10,3892343.47,3947069.30,4037853.16,,,,576.94,590.21,9562858.54,1543811.51,1757774.30,1147992.12,14012436.47,0.29,,,,2.29,1.33,364.60,104.90,24,1.00,1.00,,1,1,0,7,0,,
306.pdf,621.80,302446.00,139215.89,24.00,7,168.00,66.00,0.86,0.00,0.06,,0.08,,2010,2013,92,Curtain wall,9,16,56602.00,4.71,60,3.50,8.28,732.62,52238668.00,51834281.00,,0.00,0.00,0.00,617.00,475.50,135864475.20,17242030.80,21391516.80,13561182.00,188059204.80,0.50,833.90,609.76,9.02,2.94,2.40,5854.00,1706.40,24,1.00,0.50,A,1,1,0,7,0,,
309.pdf,450.91,16795.00,4717.72,10.00,5,50.00,50.00,0.78,0.09,0.04,0.09,,,1992,2013,26,Curtain wall,16,2,2460.00,3.29,2,9.20,6.19,25.16,,,,,,,467.37,439.85,5654340.00,354751.20,1531188.00,32673.60,7572952.80,0.72,441.18,,,1.47,0.51,119.50,30.00,25.5,1.00,1.00,A,0,1,0,7,0,,
310.pdf,365.03,35290.00,11875.09,9.93,7,69.51,69.51,0.63,0.20,0.10,,0.07,,1992,2013,38,,6,4,5643.00,5.18,0,0.00,13.26,115.87,,,,0.00,0.00,0.00,392.98,409.15,6955560.00,2820049.20,2409375.60,697075.20,12882060.00,0.48,600.00,611.11,130.48,0.40,1.66,,250.50,25.5,1.00,1.00,FE,0,1,0,7,0,,
314.pdf,330.15,8473.00,1829.32,7.00,7,49.00,49.00,0.64,0.19,0.14,0.01,0.01,,1993,2013,26,Curtain wall,2,2,492.00,2.78,5,62.40,8.26,15.12,,,,0.00,0.00,0.00,280.34,241.56,1767762.00,291805.20,676972.80,60796.80,2797336.80,0.54,468.75,,,0.58,0.42,68.00,19.00,23,1.00,0.50,A,0,1,0,7,0,,
315.pdf,372.30,81256.00,37036.48,24.00,7,168.00,168.00,0.57,0.14,0.07,0.07,0.16,,1989,,15,Non-curtain wall,9,6,11792,5.63,,,6.67,247.00,,,,,,,358.58,381.57,17582536.00,5255206.00,3758139.00,3656009.00,30251890.00,0.43,600.00,447.76,117.00,9.64,1.36,574.00,379.90,24,1,1.0,FW / A,1,0,0,8,1,,
316.pdf,156.57,24150.00,3173.31,10.17,6,61.00,55.00,0.90,0.02,0.04,,0.04,,1995,,23,Curtain wall,32,3,1630,2.93,,,8.12,25.77,,,,,,,148.71,133.99,2405750.40,547808.40,781963.20,45738.00,3781260.00,0.61,454.55,,,0.11,0.74,115.50,25.00,23,1.00,0.5,A,0,1,0,8,0,,
317.pdf,322.23,9503.42,1476.83,11.36,7,79.50,79.50,0.42,0.41,0.14,,0.02,,1991,,22,Non-curtain wall,26,2,1055.06,2.71,,,4.82,6.61,,,,,,,354.97,350.20,2823839.17,199571.62,37720.80,1136.41,3062268.00,0.75,588.24,,,2.86,0.62,30.00,17.00,24.5,1.00,1.0,A,0,1,0,8,0,,
320.pdf,553.19,35309.93,5653.12,8.71,7,61.00,61.00,0.50,0.12,0.17,,,,1982,,22,Curtain wall,1,4,5191.09,2.53,,,7.57,60.12,,,,,,,581.84,600.78,17149366.17,1359756.12,735002.64,289082.67,19533207.60,0.70,527.56,,,0.51,2.15,156.88,45.80,24.5,1,0.5,A,1,1,0,8,0,,
321.pdf,401.93,56242.55,10337.38,9.57,7,67.00,67.00,0.59,0.13,0.08,0.03,0.02,0.17,1982,,48,Curtain wall,8,4,7561.55,3.17,,,3.75,38.74,,,,,,,410.05,385.54,18242288.56,741015.79,3143512.62,478828.63,22605645.60,0.70,1470.94,802.32,10.74,4.52,0.78,668.00,176.00,24.5,1.00,1.0,A,1,1,1,8,0,,
322.pdf,452.91,48653.28,17773.04,8.00,7,56.00,56.00,0.52,0.28,0.08,,,0.13,1981,,16,Curtain wall,286,4,2039.86,5.15,,,25.24,287.58,,,,,,,451.65,459.45,17760434.00,1758431.38,2042552.16,474218.46,22035636.00,0.47,546.79,500.00,,0.55,0.49,338.00,39.00,24.5,1.00,0.5,SW,1,1,0,8,0,,
324.pdf,433.70,33824.91,8659.18,8.00,7,56.00,56.00,0.60,0.12,0.09,0.13,0.06,,1981,,16,Curtain wall,7,4,1434.94,5.10,,,5.40,46.77,,,,,,,447.81,450.39,12271887.33,849671.68,1272107.97,276171.02,14669838.00,0.60,545.45,495.38,,2.99,1.53,195.00,29.60,24.5,1.00,1.0,SW,0,1,1,8,0,,
D6-1.pdf,800.72,53269.00,53269.00,11.00,5,55.00,55.00,0.77,0.00,0.03,,0.20,,1990,2012,14,Non-curtain wall,,8,7830,2.45,,,13.02,693.60,,,,,,,815.75,814.55,21117668.00,10025239.00,1207584.00,10302806.00,42653297.00,0.00,655.53,,,1.06,1.25,425.50,90.00,25,1.00,,A,1,1,0,8,1,,
D6-2.pdf,2026.71,2278.00,2278.00,10.00,5,50.00,50.00,0.61,0.00,0.07,0.32,,,2000,2012,2,Non-curtain wall,,2,1082,2.48,,,29.32,47.30,,,,,,,1941.38,1907.73,2788189.00,532797.00,249791.00,1046057.00,4616834.00,0.00,488.89,,,0.75,0.83,60.00,11.00,25,1.00,0.5,A,1,1,0,8,0,,
D6-3.pdf,869.26,13055.00,13055.00,11.00,7,77.00,77.00,0.96,0.00,0.04,,,,2000,2012,10,Non-curtain wall,,4,4048.00,2.74,,,21.74,283.80,,,,,,,851.10,932.00,4041756.00,3106782.00,366145.00,3833536.00,11348219.00,0.00,543.21,,,0.64,0.40,144.00,6.60,25,1.00,0.50,A,1.00,1.00,0.00,8,0,,
