Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Majestic Bay,(206) 781-2229,www.majesticbay.com,8500,Ballard,N,Cinema,1999,O,1999,0,1999,0,3,500,N,0,Y,0,Y,N,N,,N,5,,,,,,,0,2044 NW Market St Seattle WA 98107,"(47.6688574, -122.3841041)"
Nortthwest Film Forum,(206) 329-2629,www.nwfilmforum.org,8500,Capitol Hill,Y,Cinema,2003,R,1900,2018,1995,2,2,164,N,0,Partial,0,Y,Y,Y,,Y,4,,,,,,,0,1515 12th Ave Seattle WA 98122,"(47.614413800000001, -122.317071)"
Seattle Center-SIFF Film Center and Cinema at the Uptown,(206) 464-5830,www.siff.net,4600,Seattle Center in Uptown,Y,Cinema,2010,R,1924,2020,1973,3,4,1026,N,0,Y,0,Y,Y,N,,,3,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
The Big Picture,(206) 256-0566,www.thebigpicture.net,4400,Belltown,N,Cinema,1998,,1950,0,1998,1,1,100,N,0,Y,,Y,Y,Y,,N,5,,,,,,,0,2505 1st Ave Seattle WA 98121,"(47.614677800000003, -122.34924770000001)"
Woodland Park Zoo and Stage,(206) 548-2500,www.zoo.org,4007000,Green Lake,Y,Education,1899,Other,1899,0,1965,0,1,0,Y,0,Y,754,Y,Y,Y,,N,5,,,,,,,0,601 N 59th St Seattle WA 98103,"(47.668420400000002, -122.350826)"
Center for Wooden Boats South Lake Union,(206) 382-2628,www.cwb.org,4000,South Lake Union,Y,Heritage,1983,R,1982,2013,1977,1,0,0,Y,784,Partial,18,N,Y,Y,,Y,1,,,,,,,0,1010 Valley Street Seattle WA 98109,"(47.626480000000001, -122.3357295)"
Center for Wooden Boats Wallingford,(206) 382-2628,www.cwb.org,6000,Wallingford,Y,Heritage,2011,R,1927,2016,1977,1,0,0,Y,,Partial,8,Y,N,Y,,Y,2,,,,,,,0,1475 N Northlake Place Seattle WA 98103,"(47.646320430000003, -122.3381967)"
Log House Museum,(206) 938-5293,www.loghousemuseum.info,1500,West Seattle,Y,Heritage,1997,Other,1904,0,1984,1,0,0,N,0,Partial,0,Y,N,N,,N,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116,"(47.577594699999999, -122.4109498)"
Northwest African American Museum,(206) 518-6000,www.naamnw.org,19700,Central District,Y,Heritage,2010,R,1906,,2007,0,0,0,Y,7500,Y,45,Y,Y,N,,Y,3,,,,,,,0,2300 S Massachusetts St Seattle WA 98144,"(47.589141599999998, -122.3018907)"
South Seattle Community College Chinese Gardens,(206) 934-5219,www.seattlechinesegarden.org,200376,West Seattle,Y,Heritage,2011,O,2010,0,1991,0,0,0,N,0,Partial,10,N,Y,,,,2,,,,,,,0,6000 16th Ave SW Seattle WA 98106,"(47.551038400000003, -122.3518643)"
Elliott Bay Book Company,(206) 624-6600,www.elliottbaybook.com,15000,Capitol Hill,N,Literary,2010,R,1916,,1973,1,1,180,Y,,Y,0,Y,,Y,,N,5,,,,,,,0,1521 10th Ave Seattle WA 98122,"(47.614665700000003, -122.31967760000001)"
Hugo House,(206) 322-7030,www.hugohouse.org,11000,Capitol Hill,Y,Literary,2004,R,1900,,2000,2,2,87,,,Y,20,Y,Y,Y,,N,2,,,,,,,0,1634 11th Ave Seattle WA 98122,"(47.616247299999998, -122.3178798)"
Kinokuniya Book Store,(206) 587-2477,www.kinokuniya.com/us,8020,International Districtrict,N,Literary,2003,R,2000,"2,015",2003,1,0,0,N,0,,,Y,,N,,N,5,,,,,,,0,525 South Weller St. Seattle WA 98144,"(47.597510100000001, -122.31160389999999)"
Magus Books,(206) 633-1800,www.magusbooksseattle.com,2800,University District,N,Literary,1978,R,1903,2016,1978,0,0,0,N,0,N,0,Y,N,N,,N,3,,,,,,,0,1408 NE 42nd St Seattle WA 98105,"(47.658436299999998, -122.312882)"
Ophelia''s Books,(206) 632-3759,www.opheliasbooks.com,1500,Fremont,N,Literary,1994,R,,2016,1994,0,0,0,N,0,Y,0,Y,N,N,,N,4,,,,,,,0,3504 Fremont Ave N Seattle WA 98103,"(47.6506373, -122.3496713)"
Seattle Public Library Ballard,(206) 684-4089,www.spl.org,15000,Ballard,Y,Literary,2004,Other,2005,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,5614 22nd Ave NW Seattle WA 98107,"(47.669821499999998, -122.3843172)"
Seattle Public Library Beacon Hill,(206) 684-4711,www.spl.org,10400,Beacon Hill,Y,Literary,2003,Other,2004,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,2821 Beacon Ave S. Seattle WA 98144,"(47.577986699999997, -122.3114095)"
Seattle Public Library Broadview,(206) 684-7519,www.spl.org,15000,Greenwood,Y,Literary,1974,Other,2007,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,12755 Greenwood Ave N Seattle WA 98133,"(47.723019700000002, -122.3562457)"
Seattle Public Library Capitol Hill,(206) 684-4715,www.spl.org,11215,Capitol Hill,Y,Literary,1952,Other,2003,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,425 Harvard Ave E Seattle WA 98102,"(47.622942799999997, -122.32233170000001)"
Seattle Public Library Columbia,(206) 386-1908,www.spl.org,12420,Columbia City,Y,Literary,1914,Other,1915,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,4721 Rainier Ave S Seattle WA 98118,"(47.559905350000001, -122.2869601)"
Seattle Public Library Delridge,(206) 733-9125,www.spl.org,5600,West Seattle,Y,Literary,2001,Other,2002,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,5423 Delridge Way SW Seattle WA 98106,"(47.553045500000003, -122.3632976)"
Seattle Public Library Douglas-Truth,(206) 684-4704,www.spl.org,16493,Central District,Y,Literary,1913,Other,1914,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,2300 E Yesler Way Seattle WA 98122,"(47.601906999999997, -122.3017753)"
Seattle Public Library Fremont,(206) 684-4084,www.spl.org,6840,Fremont,Y,Literary,1920,Other,1921,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,731 N. 35th St. Seattle WA 98103,"(47.6500311, -122.3484385)"
Seattle Public Library Green Lake,(206) 684-7547,www.spl.org,8090,Green Lake,Y,Literary,1909,Other,1910,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,7364 E. Green Lake Dr. N. Seattle WA 98115,"(47.681490500000002, -122.3267044)"
Seattle Public Library Greenwood,(206) 684-4086,www.spl.org,15000,Greenwood,Y,Literary,1923,Other,2005,2034,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,8016 Greenwood Ave N Seattle WA 98103,"(47.68714104, -122.35517919999999)"
Seattle Public Library High Point,(206) 684-7454,www.spl.org,7200,West Seattle,Y,Literary,2003,Other,2004,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,3411 S.W. Raymond St Seattle WA 98126,"(47.548075150000003, -122.3758471)"
Seattle Public Library International Districtrict/Chinatown,(206) 386-4636,www.spl.org,3930,International District,Y,Literary,2004,R,2005,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,1000 4th Ave Seattle WA 98104,"(47.604023599999998, -122.33099559999999)"
Seattle Public Library Lake City,(206) 684-7518,www.spl.org,15300,Lake City,Y,Literary,1964,Other,1965,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,12501 28th Ave N.E. Seattle WA 98125,"(47.719796500000001, -122.2980932)"
Seattle Public Library Madrona,(206) 684-4705,www.spl.org,1707,Madrona,Y,Literary,1972,Other,1973,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,1134 33rd Ave Seattle WA 98122,"(47.61269145, -122.2900131)"
Seattle Public Library Magnolia,(206) 386-4225,www.spl.org,7799,Magnolia,Y,Literary,1963,Other,1964,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,2801 34th Ave W Seattle WA 98199,"(47.645320949999999, -122.4013599)"
Seattle Public Library Main,(206) 386-4636,www.spl.org,363000,Downtown,Y,Literary,1905,Other,2004,0,1913,1,1,375,Y,800,Y,140,Y,Y,Y,,Y,5,,,,,,,0,1000 4th Ave Seattle WA 98104,"(47.604023599999998, -122.33099559999999)"
Seattle Public Library Montlake,(206) 684-4720,www.spl.org,5652,Montlake,Y,Literary,2005,Other,2006,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,2401 24th Ave E Seattle WA 98112,"(47.640424299999999, -122.30236309999999)"
Seattle Public Library New Holly,(206) 760-3296,www.spl.org,4000,Beacon Hill,Y,Literary,1998,R,1999,2098,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,3815 S Othello St #103 Seattle WA 98118,"(47.536835449999998, -122.28404380000001)"
Seattle Public Library Northeast,(206) 684-7539,www.spl.org,15000,Sand Point,Y,Literary,1953,Other,1954,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,6801 35th Ave NE Seattle WA 98115,"(47.677864300000003, -122.2907142)"
Seattle Public Library Northgate,(206) 386-1980,www.spl.org,10000,Northgate,Y,Literary,2005,Other,2006,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,10548 5th Ave NE Seattle WA 98125,"(47.705955899999999, -122.32283839999999)"
Seattle Public Library Queen Anne,(206) 386-4227,www.spl.org,7931,Queen Anne,Y,Literary,1913,Other,1914,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,400 W. Garfield St. Seattle WA 98119,"(47.6338273, -122.3627291)"
Seattle Public Library Rainier Beach,(206) 386-1906,www.spl.org,15000,Rainier Beach,Y,Literary,1980,Other,1986,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,9125 Rainier Ave S Seattle WA 98118,"(47.521355249999999, -122.2705023)"
Seattle Public Library South Park,(206) 615-1688,www.spl.org,5019,South Park,Y,Literary,2005,Other,2006,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,8604 8th Ave S Seattle WA 98108,"(47.526260600000001, -122.3225793)"
Seattle Public Library Southwest,(206) 684-7455,www.spl.org,15000,West Seattle,Y,Literary,1960,Other,1961,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,9010 35th Ave S.W. Seattle WA 98126,"(47.522441999999998, -122.3762926)"
Seattle Public Library University,(206) 684-4063,www.spl.org,8140,University District,Y,Literary,1909,Other,1910,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,5009 Roosevelt Way NE Seattle WA 98105,"(47.665540999999997, -122.31786150000001)"
Seattle Public Library Wallingford,(206) 684-4088,www.spl.org,2000,Wallingford,Y,Literary,1999,R,2000,2029,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,1501 N. 45th St. Seattle WA 98103,"(47.661164569999997, -122.3388849)"
Seattle Public Library West Seattle,(206) 684-7444,www.spl.org,9460,West Seattle,Y,Literary,1909,Other,1910,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,5,,,,,,,0,2306 42nd Ave SW Seattle WA 98116,"(47.5826992, -122.38470460000001)"
Spring Street Center (Subud Pacific Northwest),(206) 422-5002,www.springstreetcenter.com,1700,First Hill,Y,Literary,1974,O,1905,0,1974,0,2,80,N,0,Partial,0,Y,Y,N,,N,5,,,,,,,0,1101 15th Ave Seattle WA 98122,"(47.611720400000003, -122.3130658)"
Artspace Hiawatha Lofts,(206) 709-7611,www.artspace.org,88843,Central District,Y,Live/Work,2010,Other,2008,0,1979,0,0,0,Y,1500,Y,60,Y,N,N,,N,5,,,,,,,0,843 Hiawatha Pl S Seattle WA 98144,"(47.595189900000001, -122.3099181)"
Impact Hub Seattle,(206) 430-6007,www.impacthubseattle.com,20000,Pioneer Square,N,Live/Work,2011,R,1905,2024,2010,2,0,0,Y,2000,Partial,0,Y,Y,Y,,N,5,,,,,,,0,220 2nd Ave S Seattle WA 98104,"(47.6007271, -122.33132689999999)"
Works Progress,(206) 466-1624,www.worksprogressseattle.com,1200,Greenwood,N,Live/Work,2012,R,1968,2017,2012,1,0,0,Y,600,N,7,Y,Y,N,,N,1,,,,,,,0,115 N 85th St #202 Seattle WA 98103,"(47.690381700000003, -122.3573889)"
The Project Room,(206) 499-9641,www.projectroomseattle.org,750,Capitol Hill,Y,Multi-use,2011,R,1912,2015,2011,0,0,0,N,0,,0,Y,N,Y,,N,4,,,,,,,0,1315 E Pine St Seattle WA 98122,"(47.615159599999998, -122.3147172)"
ActivSpace North Seattle,(206) 529-1488,www.activspace.com,50000,Lake City,N,Multi-use,2012,Other,2004,0,1997,4,0,0,N,0,Y,20,Y,Y,N,,N,5,,,,,,,0,10015 Lake City Way NE Seattle WA 98125,"(47.701848400000003, -122.3023713)"
Alki Bathhouse Studio,(206) 684-7430,www.seattle.gov/parks/arts/alkiart.htm,1550,West Seattle,Y,Multi-use,1920,O,1920,0,1920,0,0,0,Y,1550,Y,0,Y,Y,Y,,N,5,,,,,,,0,1702 Alki Ave S.W. Seattle WA 98116,"(47.588343000000002, -122.395329)"
Annex Theatre,(206) 728-0933,www.annextheatre.org,3750,Capitol Hill,Y,Multi-use,2007,R,1910,It's month to month.,1986,5,1,99,N,0,N,0,Y,Y,Y,,N,2,,,,,,,0,1100 E Pike St Seattle WA 98122,"(47.614091700000003, -122.3191769)"
Arts West,(206) 938-0339,www.artswest.org,12680,West Seattle,Y,Multi-use,1998,O,1928,0,1998,0,1,149,Y,900,Y,0,Y,,Y,,Y,4,,,,,,,0,4711 California Ave SW Seattle WA 98116,"(47.560716300000003, -122.3871398)"
Artspace Tashiro Kaplan Lofts and the Angle & Corridor Gallery,(206) 223-1160,www.tklofts.com,130000,Pioneer Square,N,Multi-use,2004,O,1902,0,2004,0,0,0,Y,,Partial,24,Y,Y,N,,,5,,,,,,,0,115 Prefontaine Place S Seattle WA 98104,"(47.601280500000001, -122.3297091)"
Cornish College of the Arts-Beebe Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2014 9th Ave Seattle WA 98121,"(47.616793100000002, -122.3361846)"
Belle and Wissell/Oxbow,(206) 322-7908,www.bwco.info,11250,Georgetown,N,Multi-use,2011,O,1925,0,2003,1,1,,Y,2500,Y,8,Y,Y,Y,,Y,5,,,,,,,0,6014 12th Ave S Seattle WA 98108,"(47.548750900000002, -122.31707040000001)"
Danse Perdue's Psychomachia Theater,(206) 383-4105,www.danseperdue.org,2000,SODO,,Multi-use,2009,R,1928,It's month to month.,2000,0,1,50,Y,1400,,0,Y,Y,N,,N,2,,,,,,,0,1534 1st Ave S Seattle WA 98134,"(47.571919200000004, -122.3342902)"
Design Commission Gallery,(206) 223-7709Â,www.designcommissiongallery.com,3200,Pioneer Square,N,Multi-use,2009,R,1895,2018,2004,2,0,0,Y,800,Y,0,Y,N,N,,N,4,,,,,,,0,310 South Washington St Seattle WA 98104,"(47.601017599999999, -122.3297496)"
El Centro de la Raza,(206) 329-9442,www.elcentrodelaraza.com,54548,Beacon Hill,Y,Multi-use,1972,O,1911,0,1972,0,0,0,N,0,Y,130,,Y,N,,Y,5,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.580339799999997, -122.31129780000001)"
FRED Wildlife Refuge,(206) 588-6959,www.fredwildliferefuge.com,5200,Capitol Hill,Y,Multi-use,2010,R,1962,2015,2010,0,0,0,Y,1200,Y,5,Y,Y,Y,,N,5,,,,,,,0,127 Boylston Ave E Seattle WA 98102,"(47.621976799999999, -122.32303829999999)"
Frye Art Museum,(206) 622-9250,www.fryemuseum.org,42000,First Hill,Y,Multi-use,1952,O,1952,0,1952,0,1,142,Y,18000,Y,122,Y,Y,Y,,Y,5,,,,,,,0,704 Terry Ave Seattle WA 98104,"(47.607183650000003, -122.3240443)"
Hard Rock Cafe,(206) 204-2233,www.hardrock.com,14000,Downtown,N,Multi-use,2010,R,1920,,2010,0,0,0,N,0,Y,0,Y,Y,Y,,N,5,,,,,,,0,116 Pike St Seattle WA 98101,"(47.609310899999997, -122.33949560000001)"
Interbay Worklofts,(206) 286-3550,www.interbayworklofts.com,2000,Interbay,N,Multi-use,2012,Other,2013,0,2012,0,0,0,N,0,Y,92,Y,Y,N,,N,4,,,,,,,0,3131 Western Ave #419 Seattle WA 98121,"(47.618261699999998, -122.3577413)"
Jack Straw,(206) 634-0919,www.jackstraw.org,11000,University District,Y,Multi-use,1985,O,1922,0,1962,3,1,,Y,300,Partial,0,Y,Y,Y,,Y,5,,,,,,,0,4261 Roosevelt Way NE Seattle WA 98105,"(47.659315700000001, -122.3179173)"
Metrix Create Space,(206) 357-9406,www.metrixcreatespace.com,2000,Capitol Hill,N,Multi-use,2009,R,1920,2024,2004,1,0,0,N,0,N,0,N,N,N,,N,4,,,,,,,0,623 Broadway E Seattle WA 98102,"(47.624979000000003, -122.3211541)"
Mini Mart City Park,,www.minimartcitypark.com,435,Georgetown,Y,Multi-use,2008,O,1937,0,2008,0,0,0,N,0,Partial,4,Y,N,N,,N,4,,,,,,,0,6525 Ellis Ave S Seattle WA 98108,"(47.54413735, -122.3191131)"
Nordic Museum,(206) 789-5707,www.nordicmuseum.org,45000,Ballard,Y,Multi-use,1980,R,1907,2015,1979,0,0,0,Y,3800,Y,30,Y,Y,Y,,Y,4,,,,,,,0,3014 NW 67th St Seattle WA 98117,"(47.677699099999998, -122.39635869999999)"
Of the Earth,(206) 462-7022,www.oftheearth.org,4000,Greenlake,N,Multi-use,2014,R,1900,2019,1994,4,0,0,N,0,Y,0,Y,N,N,,N,5,,,,,,,0,7706 Aurora Ave N Seattle WA 98103,"(47.685030599999997, -122.344258)"
Rainier Chapter House DAR,(206) 323-0600,www.rainierchapterhouse.com,9225,Capitol Hill,Y,Multi-use,1925,O,1925,0,1894,0,1,200,N,0,Y,5,Y,Y,Y,,N,4,,,,,,,0,800 East Roy St Seattle WA 98102,"(47.625323350000002, -122.32204059999999)"
Seattle Center EMP and Sky Church,(206) 770-2700,www.empmuseum.org,140000,Seattle Center in Uptown,Y,Multi-use,2000,Other,2000,0,1990,0,1,191,Y,23100,Y,0,Y,N,Y,,Y,4,,,,,,,0,325 5th Ave N Seattle WA 98109,"(47.621497750000003, -122.3482387)"
Seattle Center Mural Ampitheater,(206) 684-7200,www.seattlecenter.com,58000,Seattle Center in Uptown,,Multi-use,1962,O,1961,0,1962,0,1,3500,N,0,Y,0,N,Y,N,,N,5,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
Seattle Center Pacific Science Center,(206) 443-2001,www.pacificsciencecenter.org,177750,Seattle Center in Uptown,Y,Multi-use,1962,O,1962,0,1962,0,2,725,Y,12000,Y,162,Y,Y,Y,,N,5,,,,,,,0,200 2nd Ave N Seattle WA 98109,"(47.619413850000001, -122.3508085)"
Seattle Center Pavilion,(206) 684-7200,www.seattlecenter.com,5300,Seattle Center in Uptown,,Multi-use,1962,O,1961,0,1962,0,1,336,N,0,Y,0,N,,N,,N,5,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.620568550000002, -122.35049100000001)"
Seattle Center Seattle Children's Museum,(206) 441-1768,www.thechildrensmuseum.org,32000,Seattle Center in Uptown,Y,Multi-use,1985,R,1939,2019,1980,1,1,2,Y,300,Partial,0,N,Y,Y,,Y,5,,,,,,,0,Seattle Center 305 Harrison St Seattle WA 98109,"(47.621252300000002, -122.35094839999999)"
St. Paul's Episcopal Church,(206) 282-0786,www.stpaulseattle.org,1100,Uptown,Y,Multi-use,1913,O,1962,0,,3,0,0,Y,400,N,10,Y,Y,N,,N,5,,,,,,,0,15 Roy St Seattle WA 98109,"(47.625210099999997, -122.3559613)"
Storefronts Seattle/Shunpike,(206) 905-1026,www.shunpike.org,26600,Belltown,Y,Multi-use,2007,R,1889,2013,2000,0,0,0,N,0,N,1,N,N,N,,Y,2,,,,,,,0,2324 1st Ave # 112 Seattle WA 98121,"(47.613990899999997, -122.3472372)"
University of Washington Samuel E. Kelly Ethnic Cultural Center,(206) 543-4635,www.depts.washington.edu/ecc,25000,University District,,Multi-use,2011,Other,2012,0,1970,1,1,161,N,0,Y,0,Y,Y,N,,N,5,,,,,,,0,3931 Brooklyn Ave NE Seattle WA 98105,"(47.65492433, -122.31457640000001)"
