"City","Country.Subdivision","Country","Starbucks"
"Baytown","TX","US",3
"Beaumont","TX","US",3
"Beavercreek","OH","US",3
"Beirut","BA","LB",3
"Bekasi","JB","ID",3
"Bel Air","MD","US",3
"Belmont","CA","US",3
"Biloxi","MS","US",3
"Bloomfield Hills","MI","US",3
"Bluffton","SC","US",3
"Bolton","ENG","GB",3
"BONN","NW","DE",3
"Bossier City","LA","US",3
"Bowling Green","OH","US",3
"Bozeman","MT","US",3
"Branson","MO","US",3
"BREMEN","HB","DE",3
"Brentwood","CA","US",3
"Brighton","MA","US",3
"Brighton","MI","US",3
"Bromley","ENG","GB",3
"Brownsville","TX","US",3
"Bryan","TX","US",3
"Buffalo","NY","US",3
"Burien","WA","US",3
"Burleson","TX","US",3
"Calabasas","CA","US",3
"Caledonia","MI","US",3
"Cameron Park","CA","US",3
"Campinas","SP","BR",3
"Canoga Park","CA","US",3
"Canton","MI","US",3
"Canton","OH","US",3
"Cape Coral","FL","US",3
"Cape Girardeau","MO","US",3
"Capitola","CA","US",3
"Carmichael","CA","US",3
"Casa Grande","AZ","US",3
"Casper","WY","US",3
"Casselberry","FL","US",3
"Cathedral City","CA","US",3
"Centralia","WA","US",3
"Century City","CA","US",3
"Cerritos","CA","US",3
"Chatuchak","10","TH",3
"Cheonan","44","KR",3
"Ciudad Juarez","CHH","MX",3
"Clarksville","TN","US",3
"Clermont","FL","US",3
"Cleveland","TN","US",3
"Collierville","TN","US",3
"COLOGNE","NW","DE",3
"Columbus","GA","US",3
"Columbus","IN","US",3
"Commack","NY","US",3
"Compton","CA","US",3
"Conifer","CO","US",3
"Conroe","TX","US",3
"Cordova","TN","US",3
"Corte Madera","CA","US",3
"Cranberry Township","PA","US",3
"Croydon","ENG","GB",3
"Crystal Lake","IL","US",3
"Culiacan","SIN","MX",3
"Cuyahoga Falls","OH","US",3
"Dacula","GA","US",3
"Danbury","CT","US",3
"Dartmouth","NS","CA",3
"Davenport","IA","US",3
"Deerfield Beach","FL","US",3
"Delray Beach","FL","US",3
"Denpasar","BA","ID",3
"Derby","ENG","GB",3
"Downey","CA","US",3
"Doylestown","PA","US",3
"Duesseldorf","NW","DE",3
"DUISBURG","NW","DE",3
"Duluth","MN","US",3
"Duncan","BC","CA",3
"Dunwoody","GA","US",3
"Durham","ENG","GB",3
"Eagan","MN","US",3
"Eagle River","AK","US",3
"Eau Claire","WI","US",3
"Eden Prairie","MN","US",3
"Edison","NJ","US",3
"El Cerrito","CA","US",3
"Elmhurst","IL","US",3
"Elmhurst","NY","US",3
"Estero","FL","US",3
"Euless","TX","US",3
"Evans","GA","US",3
"Fargo","ND","US",3
"Farmington","NM","US",3
"Fayetteville","AR","US",3
"Firestone","CO","US",3
"Flushing","NY","US",3
"Fort McMurray","AB","CA",3
"Fort Mill","SC","US",3
"Fountain Hills","AZ","US",3
"Framingham","MA","US",3
"Frankfort","KY","US",3
"Freehold","NJ","US",3
"FREIBURG","BW","DE",3
"Fukushima","07","JP",3
"Gainesville","VA","US",3
"Gambrills","MD","US",3
"Gardena","CA","US",3
"Gateshead","ENG","GB",3
"Gdańsk","PM","PL",3
"Geneva","IL","US",3
"Glastonbury","CT","US",3
"Glen Ellyn","IL","US",3
"Goldsboro","NC","US",3
"Grand Forks","ND","US",3
"Grand Haven","MI","US",3
"Grande Prairie","AB","CA",3
"Grandville","MI","US",3
"Green Bay","WI","US",3
"Greenbelt","MD","US",3
"Groton","CT","US",3
"Gueishan Township","TAO","TW",3
"Guelph","ON","CA",3
"Gunsan","45","KR",3
"Hammond","LA","US",3
"Hampton","VA","US",3
"Happy Valley","OR","US",3
"Hattiesburg","MS","US",3
"Hendersonville","TN","US",3
"Heraklion","M","GR",3
"Hermosa Beach","CA","US",3
"Hialeah","FL","US",3
"High Point","NC","US",3
"Highland Park","IL","US",3
"Hilton Head","SC","US",3
"Hinsdale","IL","US",3
"Hoboken","NJ","US",3
"Hoffman Estates","IL","US",3
"Holly Springs","NC","US",3
"Homewood","IL","US",3
"Hoover","AL","US",3
"Hurst","TX","US",3
"Ichinomiya","23","JP",3
"Independence","MO","US",3
"Ithaca","NY","US",3
"Joliet","IL","US",3
"Jupiter","FL","US",3
"Kagoshima","46","JP",3
"Kahului","HI","US",3
"Kamakura","14","JP",3
"Kapolei","HI","US",3
"Kastrup","84","DK",3
"Kasugai","23","JP",3
"Kathu","83","TH",3
"Kenner","LA","US",3
"Kenosha","WI","US",3
"Kihei","HI","US",3
"Kita","13","JP",3
"Kurashiki","33","JP",3
"La Plata","MD","US",3
"La Verne","CA","US",3
"Lafayette","CA","US",3
"Laguna Beach","CA","US",3
"Laguna Hills","CA","US",3
"Lahaina","HI","US",3
"Lake Forest","IL","US",3
"Lake Havasu City","AZ","US",3
"Lake Zurich","IL","US",3
"Lakeville","MN","US",3
"Langford","BC","CA",3
"Langhorne","PA","US",3
"Langkawi","02","MY",3
"Latham","NY","US",3
"Laurel","MD","US",3
"Laveen","AZ","US",3
"Lees Summit","MO","US",3
"Lemesos","02","CY",3
"Lisboa","11","PT",3
"Longview","TX","US",3
"Los Banos","CA","US",3
"Lynchburg","VA","US",3
"Lyon","V","FR",3
"Makassar","SN","ID",3
"Manama","13","BH",3
"Manchester","CT","US",3
"Manhattan","KS","US",3
"Manhattan Beach","CA","US",3
"Mansfield","OH","US",3
"Maple Grove","MN","US",3
"Marquette","MI","US",3
"Mason","OH","US",3
"McDonough","GA","US",3
"Medan","SU","ID",3
"Medford","NY","US",3
"Medicine Hat","AB","CA",3
"Mentor","OH","US",3
"Merrillville","IN","US",3
"Mesquite","TX","US",3
"Missouri City","TX","US",3
"Mito","08","JP",3
"Monrovia","CA","US",3
"Montebello","CA","US",3
"Monterey","CA","US",3
"Montrose","CO","US",3
"Moorpark","CA","US",3
"Moses Lake","WA","US",3
"Mount Pleasant","MI","US",3
"Mountlake Terrace","WA","US",3
"Mukilteo","WA","US",3
"Muncie","IN","US",3
"Nashua","NH","US",3
"Nepean","ON","CA",3
"New Port Richey","FL","US",3
"Newcastle","WA","US",3
"Newmarket","ON","CA",3
"Newport","KY","US",3
"Newton","MA","US",3
"Nicosia","01","CY",3
"Norco","CA","US",3
"Norcross","GA","US",3
"North Olmsted","OH","US",3
"North Richland Hills","TX","US",3
"Oak Creek","WI","US",3
"Oak Harbor","WA","US",3
"OBERHAUSEN","NW","DE",3
"Odawara","14","JP",3
"Orange Park","FL","US",3
"Oro Valley","AZ","US",3
"Osage Beach","MO","US",3
"Oshawa","ON","CA",3
"Oshkosh","WI","US",3
"Owings Mills","MD","US",3
"Oxford","ENG","GB",3
"Pakkred","12","TH",3
"Panama City Beach","FL","US",3
"Papillion","NE","US",3
"Paranaque City","41","PH",3
"Perris","CA","US",3
"Pflugerville","TX","US",3
"Placerville","CA","US",3
"Plantation","FL","US",3
"Plymouth","MN","US",3
"Pocatello","ID","US",3
"Port Charlotte","FL","US",3
"Port Moody","BC","CA",3
"Poughkeepsie","NY","US",3
"Quarry Bay","91","CN",3
"Reading","ENG","GB",3
"Redmond","OR","US",3
"Richmond","KY","US",3
"Rio Rancho","NM","US",3
"Riverbank","CA","US",3
"Riverview","FL","US",3
"Rochester Hills","MI","US",3
"Rock Hill","SC","US",3
"Rockaway","NJ","US",3
"Rockford","IL","US",3
"Roseburg","OR","US",3
"Rosemont","IL","US",3
"Rosenberg","TX","US",3
"Roseville","MN","US",3
"Rowland Heights","CA","US",3
"Royal Oak","MI","US",3
"Saint Augustine","FL","US",3
"Saint John","NB","CA",3
"Saint Petersburg","SPE","RU",3
"Sammamish","WA","US",3
"San Carlos","CA","US",3
"San Juan Capistrano","CA","US",3
"Sano","09","JP",3
"Santa Fe Springs","CA","US",3
"Sathorn","10","TH",3
"Scarsdale","NY","US",3
"Scotts Valley","CA","US",3
"Seal Beach","CA","US",3
"Severna Park","MD","US",3
"Shah Alam","10","MY",3
"Sheboygan","WI","US",3
"Sherwood","OR","US",3
"Shoreline","WA","US",3
"Shrewsbury","ENG","GB",3
"Sidney","BC","CA",3
"Sierra Vista","AZ","US",3
"Silverdale","WA","US",3
"Singapore","03","SG",3
"Singapore","04","SG",3
"Skokie","IL","US",3
"Sofia","23","BG",3
"Somerset","PA","US",3
"Sonora","CA","US",3
"South Lake Tahoe","CA","US",3
"South Pasadena","CA","US",3
"South San Francisco","CA","US",3
"Southampton","ENG","GB",3
"Southlake","TX","US",3
"Spruce Grove","AB","CA",3
"St Albert","AB","CA",3
"St Charles","IL","US",3
"St Paul","MN","US",3
"St. George","UT","US",3
"Staffordshire","ENG","GB",3
"State College","PA","US",3
"Sterling Heights","MI","US",3
"Strongsville","OH","US",3
"STUTTGART","BW","DE",3
"Sugarland","TX","US",3
"Superior","CO","US",3
"Tajiri","27","JP",3
"Tarzana","CA","US",3
"Temple","TX","US",3
"Terre Haute","IN","US",3
"Tokoname","23","JP",3
"Tokushima","36","JP",3
"Topeka","KS","US",3
"Torreon","COA","MX",3
"Toyonaka","27","JP",3
"Toyota","23","JP",3
"Troutdale","OR","US",3
"Truckee","CA","US",3
"Trumbull","CT","US",3
"Tucker","GA","US",3
"Tuscaloosa","AL","US",3
"Tyler","TX","US",3
"Ukiah","CA","US",3
"Ulsan","31","KR",3
"Union","NJ","US",3
"Urayasu","12","JP",3
"Urbandale","IA","US",3
"Vail","CO","US",3
"Vero Beach","FL","US",3
"Vestal","NY","US",3
"Villahermosa","TAB","MX",3
"Waco","TX","US",3
"Waipahu","HI","US",3
"Wakayama","30","JP",3
"Wan Chai","91","CN",3
"Waukesha","WI","US",3
"Webster","TX","US",3
"Wenatchee","WA","US",3
"West Chester","OH","US",3
"West Hartford","CT","US",3
"West Hills","CA","US",3
"West Lafayette","IN","US",3
"West Valley City","UT","US",3
"Westbury","NY","US",3
"Weston","FL","US",3
"Westport","CT","US",3
"Wildomar","CA","US",3
"Winter Park","FL","US",3
"Woburn","MA","US",3
"Woodbridge","ON","CA",3
"Woodbury","MN","US",3
"Woodinville","WA","US",3
"Woodridge","IL","US",3
"Yamagata","06","JP",3
"Yannawa","10","TH",3
"Yokosuka","14","JP",3
"الخبر","04","SA",3
"المدينة المنورة","03","SA",3
"مدينة الكويت","FA","KW",3
"강원도","42","KR",3
"경기","41","KR",3
"경상북도","47","KR",3
"海口市","46","CN",2
"淮安市","32","CN",2
"嘉兴市","33","CN",2
"三亚市","46","CN",2
"太仓市","32","CN",2
"唐山市","13","CN",2
"潍坊市","37","CN",2
"温州市","33","CN",2
"徐州市","32","CN",2
"烟台市","37","CN",2
"扬州市","32","CN",2
"义乌市","33","CN",2
"舟山市","33","CN",2
"株洲市","43","CN",2
"Aberdeen","WA","US",2
"Abilene","TX","US",2
"Abingdon","MD","US",2
"Acworth","GA","US",2
"Adachi","13","JP",2
"Addison","TX","US",2
"Admiralty","91","CN",2
"Aghia Paraskevi","A1","GR",2
"Ajax","ON","CA",2
"Alamo","CA","US",2
"Albany","GA","US",2
"Alcoa","TN","US",2
"Alexandria","LA","US",2
"Allen Park","MI","US",2
"Aloha","OR","US",2
"American Canyon","CA","US",2
"Anacortes","WA","US",2
"Ancaster","ON","CA",2
"Anderson","CA","US",2
"Angeles City","03","PH",2
"Annandale","VA","US",2
"Ansan","41","KR",2
"Anthem","AZ","US",2
"Antiguo Cuscatlan","LI","SV",2
"Antipolo","40","PH",2
"Apache Junction","AZ","US",2
"Apopka","FL","US",2
"Apple Valley","MN","US",2
"Aptos","CA","US",2
"Arden","NC","US",2
"Arlington","MA","US",2
"Ashland","OR","US",2
"Ashorne","ENG","GB",2
"Atascadero","CA","US",2
"Auburn Hills","MI","US",2
"Aurora","OH","US",2
"Avon","IN","US",2
"Aydin","09","TR",2
"Balagtas","03","PH",2
"Ballwin","MO","US",2
"Bangkhen","10","TH",2
"Bangkok Noi","10","TH",2
"Bangor","ME","US",2
"Bangphi","11","TH",2
"Banning","CA","US",2
"Banten","BT","ID",2
"Bartlesville","OK","US",2
"Barueri","SP","BR",2
"Batam","RI","ID",2
"Battle Creek","MI","US",2
"Baxter","MN","US",2
"Bayan Lepas","07","MY",2
"Beachwood","OH","US",2
"Beaumont","CA","US",2
"Beckley","WV","US",2
"Bedford","NH","US",2
"Bedford","PA","US",2
"Belfair","WA","US",2
"Belleville","IL","US",2
"Bellflower","CA","US",2
"Belmont","MA","US",2
"Belvidere","IL","US",2
"Bentonville","AR","US",2
"Berkshire","ENG","GB",2
"Beverly","MA","US",2
"Big Bear Lake","CA","US",2
"Binan","PH","PH",2
"Birmingham","MI","US",2
"Bishop","CA","US",2
"Blacksburg","VA","US",2
"Bloomington","IL","US",2
"Bloomsburg","PA","US",2
"Blue Ash","OH","US",2
"Blue Springs","MO","US",2
"BOCHUM","NW","DE",2
"Bodrum","48","TR",2
"Bogor","JB","ID",2
"Bonita","CA","US",2
"Bourbonnais","IL","US",2
"Bournemouth","ENG","GB",2
"Bowling Green","KY","US",2
"Braintree","MA","US",2
"Brandon","ENG","GB",2
"Brandon","MB","CA",2
"Brandywine","MD","US",2
"Branford","CT","US",2
"Brentwood","MO","US",2
"Bristol","VA","US",2
"Bristow","VA","US",2
"Broadview","IL","US",2
"Broadview Heights","OH","US",2
"Broken Arrow","OK","US",2
"Broomall","PA","US",2
"Bucheon","41","KR",2
"Buckinghamshire","ENG","GB",2
"Buffalo Grove","IL","US",2
"Buford","GA","US",2
"Bullhead City","AZ","US",2
"Burbank","IL","US",2
"Burlington","MA","US",2
"Cagayan de Oro","41","PH",2
"Cambridge","ON","CA",2
"Camp Hill","PA","US",2
"Camp Verde","AZ","US",2
"Campbell River","BC","CA",2
"Camrose","AB","CA",2
"Canby","OR","US",2
"Canmore","AB","CA",2
"Carbondale","IL","US",2
"Carlisle","PA","US",2
"Carmel","CA","US",2
"Cartersville","GA","US",2
"Cedar Falls","IA","US",2
"Cedar Hill","TX","US",2
"Centereach","NY","US",2
"Centerville","OH","US",2
"Centerville","VA","US",2
"Ceres","CA","US",2
"Champaign","IL","US",2
"Changhua City","CHA","TW",2
"Changwon","48","KR",2
"Chantilly","VA","US",2
"Charleston","WV","US",2
"Chehalis","WA","US",2
"Cheney","WA","US",2
"Chester","ENG","GB",2
"Chester","VA","US",2
"Chesterfield","MO","US",2
"Chesterfield","VA","US",2
"Chesterfield Township","MI","US",2
"Chestermere","AB","CA",2
"Chevy Chase","MD","US",2
"Chorley","ENG","GB",2
"Christiansburg","VA","US",2
"Chungcheongbuk-do","43","KR",2
"Chungju-si","43","KR",2
"City of Commerce","CA","US",2
"Clarkston","WA","US",2
"Clayton","MO","US",2
"Clemson","SC","US",2
"Cleveland Heights","OH","US",2
"Clifton","NJ","US",2
"Clive","IA","US",2
"Clyde","OH","US",2
"Coacalco","MX","MX",2
"Cochrane","AB","CA",2
"Coconut Creek","FL","US",2
"College Park","MD","US",2
"Collingwood","ON","CA",2
"Colma","CA","US",2
"Colton","CA","US",2
"Commerce City","CO","US",2
"Conyers","GA","US",2
"Cookeville","TN","US",2
"Coon Rapids","MN","US",2
"Cordoba","X","AR",2
"Cornelius","NC","US",2
"Council Bluffs","IA","US",2
"Courbevoie","J","FR",2
"Courtenay","BC","CA",2
"Covina","CA","US",2
"Covington","LA","US",2
"Covington","WA","US",2
"Cranbrook","BC","CA",2
"Cranbury","NJ","US",2
"Cuautitlan Izcalli","MX","MX",2
"Culpeper","VA","US",2
"Cyberjaya","10","MY",2
"Cypress","CA","US",2
"Dallas","OR","US",2
"Dalton","GA","US",2
"Danville","VA","US",2
"Dasmarinas","40","PH",2
"Davao","05","PH",2
"Davie","FL","US",2
"Daytona Beach","FL","US",2
"Dearborn","MI","US",2
"Dearborn Heights","MI","US",2
"Decatur","AL","US",2
"Decatur","GA","US",2
"Decatur","IL","US",2
"Deer Park","NY","US",2
"Dekalb","IL","US",2
"DeKalb","IL","US",2
"Del Mar","CA","US",2
"Del Rey Oaks","CA","US",2
"Delafield","WI","US",2
"Denham Springs","LA","US",2
"Denville","NJ","US",2
"Depew","NY","US",2
"Derby","KS","US",2
"Des Moines","WA","US",2
"Des Plaines","IL","US",2
"Detroit","MI","US",2
"Diamond Bar","CA","US",2
"Dieppe","NB","CA",2
"Dillon","CO","US",2
"Dixon","CA","US",2
"Doha","DA","QA",2
"Don Muang","10","TH",2
"Doral","FL","US",2
"DORTMUND","NW","DE",2
"Downers Grove","IL","US",2
"Dresden","SN","DE",2
"Dubuque","IA","US",2
"Dumfries","SCT","GB",2
"Dumfries","VA","US",2
"Dunkirk","MD","US",2
"Durango","CO","US",2
"Duvall","WA","US",2
"Eagle","ID","US",2
"Ealing","ENG","GB",2
"East Boston","MA","US",2
"East Lyme","CT","US",2
"East Northport","NY","US",2
"East Point","GA","US",2
"East Rutherford","NJ","US",2
"Easton","MD","US",2
"Easton","PA","US",2
"Ebina","14","JP",2
"Edgewater","CO","US",2
"Edgewater","MD","US",2
"Edwardsville","IL","US",2
"Eldersburg","MD","US",2
"Elgin","IL","US",2
"Elk Grove Village","IL","US",2
"Elko","NV","US",2
"Encino","CA","US",2
"Ensenada","BCN","MX",2
"Enumclaw","WA","US",2
"Erie","CO","US",2
"ESSEN","NW","DE",2
"Estes Park","CO","US",2
"Evergreen","CO","US",2
"Ewa Beach","HI","US",2
"Exton","PA","US",2
"Fairport","NY","US",2
"Fairview Heights","IL","US",2
"Fairview Park","OH","US",2
"Farmingdale","NY","US",2
"Farragut","TN","US",2
"Fayetteville","GA","US",2
"Fenton","MI","US",2
"Fitchburg","WI","US",2
"Fleet","ENG","GB",2
"Flint","MI","US",2
"Florence","SC","US",2
"Flowood","MS","US",2
"Forestville","MD","US",2
"Fort Belvoir","VA","US",2
"Fort Bragg","NC","US",2
"Fort Saskatchewan","AB","CA",2
"Fort Walton Beach","FL","US",2
"Foster City","CA","US",2
"Franklin","WI","US",2
"Freedom","CA","US",2
"Friendswood","TX","US",2
"Front Royal","VA","US",2
"Ft Lauderdale","FL","US",2
"Ft. Bliss","TX","US",2
"Ft. Worth","TX","US",2
"Fukui","18","JP",2
"Fukuyama","34","JP",2
"Gainesville","GA","US",2
"Gallatin","TN","US",2
"Gent","VLG","BE",2
"Germantown","TN","US",2
"Gifu","21","JP",2
"Gillette","WY","US",2
"Glen Cove","NY","US",2
"Glen Mills","PA","US",2
"Glendale","CO","US",2
"Gloucester","VA","US",2
"Goleta","CA","US",2
"Grand Prairie","AB","CA",2
"Granger","IN","US",2
"Granite Bay","CA","US",2
"Grass Valley","CA","US",2
"Great Falls","MT","US",2
"Greece","NY","US",2
"Greenwich","CT","US",2
"Grosse Pointe","MI","US",2
"Guadalupe","NLE","MX",2
"Guildford","ENG","GB",2
"Gunpo","41","KR",2
"Gyeonggi-do","41","KR",2
"Hacienda Heights","CA","US",2
"Hackettstown","NJ","US",2
"Hamilton","N","NZ",2
"Hanford","CA","US",2
"Hannover","NI","DE",2
"Hanover","MA","US",2
"Hanover","PA","US",2
"Harbor City","CA","US",2
"Harker Heights","TX","US",2
"Hartford","CT","US",2
"Haverhill","MA","US",2
"Haymarket","VA","US",2
"Healdsburg","CA","US",2
"HEIDELBERG","BW","DE",2
"HEILBRONN","BW","DE",2
"Helena","MT","US",2
"Hendersonville","NC","US",2
"Hercules","CA","US",2
"Hermiston","OR","US",2
"Hermitage","TN","US",2
"Hermosillo","SON","MX",2
"Hershey","PA","US",2
"Hickory","NC","US",2
"Hicksville","NY","US",2
"Higashiura","23","JP",2
"Himeji","28","JP",2
"Hingham","MA","US",2
"Hinode","13","JP",2
"Hirakata","27","JP",2
"Hiram","GA","US",2
"Hixson","TN","US",2
"Hollister","CA","US",2
"Hood River","OR","US",2
"Hounslow","ENG","GB",2
"Hua Hin","77","TH",2
"Hualien City","HUA","TW",2
"Huay Kwang","10","TH",2
"Hull","ENG","GB",2
"Hungerford","ENG","GB",2
"Huntingdon Valley","PA","US",2
"Huntington","WV","US",2
"Huntington Park","CA","US",2
"Hwaseong","41","KR",2
"Hyattsville","MD","US",2
"Icheon","41","KR",2
"Idaho Falls","ID","US",2
"Inba-Gun","12","JP",2
"Inverness","SCT","GB",2
"Ipoh","08","MY",2
"Itabashi","13","JP",2
"Iwate","03","JP",2
"Izumisano","27","JP",2
"Jackson","CA","US",2
"Jackson","MI","US",2
"Jackson","MS","US",2
"Jackson","TN","US",2
"Jakarta","JW","ID",2
"Jakarta Barat","JK","ID",2
"Jakarta Selatan","JK","ID",2
"Janesville","WI","US",2
"Jeddah","02","SA",2
"Jefferson City","MO","US",2
"Jeffersontown","KY","US",2
"Jeonju","45","KR",2
"Johnson City","TN","US",2
"Jonesboro","AR","US",2
"Juneau","AK","US",2
"Kailua","HI","US",2
"Kailua-Kona","HI","US",2
"Kaneohe","HI","US",2
"KARLSRUHE","BW","DE",2
"Kasama","08","JP",2
"Kashiwa","12","JP",2
"Katowice","SL","PL",2
"Katsushika","13","JP",2
"Kayseri","38","TR",2
"Keelung City","KEE","TW",2
"Keene","NH","US",2
"Keller","TX","US",2
"Kelso","WA","US",2
"Kemah","TX","US",2
"Kenmore","WA","US",2
"Kernersville","NC","US",2
"Killeen","TX","US",2
"Kingman","AZ","US",2
"Kingsport","TN","US",2
"Kingston","NY","US",2
"Kisarazu","12","JP",2
"Klang","10","MY",2
"Klong Toey","10","TH",2
"Kochi","39","JP",2
"Kokomo","IN","US",2
"KÖLN","NW","DE",2
"Koriyama","07","JP",2
"Kotelniki","MOS","RU",2
"Kraków","MA","PL",2
"Kusatsu","25","JP",2
"Kuwana","24","JP",2
"Kyle","TX","US",2
"La Canada","CA","US",2
"La Crescenta","CA","US",2
"La Grande","OR","US",2
"La Mirada","CA","US",2
"Lady Lake","FL","US",2
"Lafayette","CO","US",2
"Lake Charles","LA","US",2
"Lake Geneva","WI","US",2
"Lake Stevens","WA","US",2
"Lancaster","OH","US",2
"Lantau Island","91","CN",2
"Laramie","WY","US",2
"Largo","FL","US",2
"Largo","MD","US",2
"Las Pinas City","41","PH",2
"Lathrop","CA","US",2
"Laughlin","NV","US",2
"Lausanne","VD","CH",2
"Lawrenceville","NJ","US",2
"Layton","UT","US",2
"Leawood","KS","US",2
"Lemon Grove","CA","US",2
"Lemont","IL","US",2
"Leominster","MA","US",2
"Levittown","NY","US",2
"Lexington","MA","US",2
"Lexington","SC","US",2
"Libertyville","IL","US",2
"Lihue","HI","US",2
"Lincoln","ENG","GB",2
"Lincoln","RI","US",2
"Lincoln City","OR","US",2
"Liphook","ENG","GB",2
"Litchfield Park","AZ","US",2
"Lititz","PA","US",2
"Little Elm","TX","US",2
"Livonia","MI","US",2
"Lockport","IL","US",2
"Loganville","GA","US",2
"Lompoc","CA","US",2
"LONDON","ENG","GB",2
"Lone Tree","CO","US",2
"Long Beach","NY","US",2
"Los Altos","CA","US",2
"Louisville","CO","US",2
"Lowell","MA","US",2
"Lujhu Township","TAO","TW",2
"Luton","ENG","GB",2
"Luzern","LU","CH",2
"Lyndhurst","OH","US",2
"Lynwood","CA","US",2
"Macomb","MI","US",2
"Macon","GA","US",2
"Madera","CA","US",2
"Madison","AL","US",2
"Maebashi","10","JP",2
"Magnolia","TX","US",2
"Malaga","AN","ES",2
"Mammoth Lakes","CA","US",2
"Manchester","NH","US",2
"Mandeville","LA","US",2
"Manhasset","NY","US",2
"Mantua","OH","US",2
"Marignane","U","FR",2
"Marikina City","41","PH",2
"Marilao","03","PH",2
"Marina","CA","US",2
"Marion","IL","US",2
"Marion","OH","US",2
"Martinez","B","AR",2
"Mary Esther","FL","US",2
"Mashpee","MA","US",2
"Massapequa","NY","US",2
"Massillon","OH","US",2
"Matsuyama","38","JP",2
"Mayfield Heights","OH","US",2
"McMinnville","OR","US",2
"McMurray","PA","US",2
"Mecca","02","SA",2
"Mechanicsville","VA","US",2
"Medford","MA","US",2
"Medina","OH","US",2
"Mendoza","M","AR",2
"Menifee","CA","US",2
"Menomonee Falls","WI","US",2
"Metairie","LA","US",2
"Metepec","MX","MX",2
"Methuen","MA","US",2
"Midland","TX","US",2
"Midwest City","OK","US",2
"Milford","CT","US",2
"Milford","OH","US",2
"Mililani","HI","US",2
"Milledgeville","GA","US",2
"Minnetonka","MN","US",2
"Miramar","FL","US",2
"Miri","13","MY",2
"Mission","BC","CA",2
"Moline","IL","US",2
"Monaca","PA","US",2
"Mong Kok","91","CN",2
"Monroe","LA","US",2
"Monroe","NC","US",2
"Montclair","CA","US",2
"Monument","CO","US",2
"Moore","OK","US",2
"Moorhead","MN","US",2
"Moraga","CA","US",2
"Morelia","MIC","MX",2
"Morgantown","WV","US",2
"Morrisville","NC","US",2
"Moscow","ID","US",2
"Mount Airy","MD","US",2
"Mt Pleasant","SC","US",2
"Mt Vernon","WA","US",2
"Muang","40","TH",2
"Muang","41","TH",2
"Muang","83","TH",2
"Mundelein","IL","US",2
"Muntinlupa City","00","PH",2
"Muskegon","MI","US",2
"Nacogdoches","TX","US",2
"Nagaoka","15","JP",2
"Nampa","ID","US",2
"Natick","MA","US",2
"National City","CA","US",2
"Nerima","13","JP",2
"New Albany","OH","US",2
"New Bern","NC","US",2
"New Haven","CT","US",2
"New Hyde Park","NY","US",2
"New Lenox","IL","US",2
"New Rochelle","NY","US",2
"Newburgh","NY","US",2
"Newington","CT","US",2
"Newport","OR","US",2
"Newport Coast","CA","US",2
"Neyagawa","27","JP",2
"Nipomo","CA","US",2
"Niteroi","RJ","BR",2
"North Bend","WA","US",2
"North Canton","OH","US",2
"North Charleston","SC","US",2
"North Haven","CT","US",2
"North Highlands","CA","US",2
"North Hills","CA","US",2
"North Wales","PA","US",2
"Northampton","MA","US",2
"Northville","MI","US",2
"Norwalk","CT","US",2
"Norwich","ENG","GB",2
"Nottinghamshire","ENG","GB",2
"NUERNBERG","BY","DE",2
"NÜRNBERG","BY","DE",2
"O'Fallon","MO","US",2
"Oakdale","CA","US",2
"Oakhurst","CA","US",2
"Odessa","TX","US",2
"Okazaki","23","JP",2
"Okemos","MI","US",2
"Okotoks","AB","CA",2
"Olive Branch","MS","US",2
"Olongapo City","03","PH",2
"Opelika","AL","US",2
"Orange","CT","US",2
"Oranjestad","AW","AW",2
"Orinda","CA","US",2
"Orly","J","FR",2
"Ormond Beach","FL","US",2
"Owasso","OK","US",2
"Owensboro","KY","US",2
"Oxford","AL","US",2
"Pachuca","HID","MX",2
"Pacific Palisades","CA","US",2
"Paisley","SCT","GB",2
"Palatine","IL","US",2
"Palembang","SS","ID",2
"Palm Beach","FL","US",2
"Palm Coast","FL","US",2
"Palm Harbor","FL","US",2
"Palmer","AK","US",2
"Paramount","CA","US",2
"Park Ridge","IL","US",2
"Parma","OH","US",2
"Peabody","MA","US",2
"Pendleton","OR","US",2
"Penrith","ENG","GB",2
"Peru","IL","US",2
"Peterborough","ON","CA",2
"Pico Rivera","CA","US",2
"Pigeon Forge","TN","US",2
"Pilar","B","AR",2
"Pinecrest","FL","US",2
"Pinellas Park","FL","US",2
"Pingtung City","PIF","TW",2
"Pinole","CA","US",2
"Pleasant Prairie","WI","US",2
"Plymouth","MA","US",2
"Plymouth","MI","US",2
"Pompano Beach","FL","US",2
"Port Angeles","WA","US",2
"Port Hope","ON","CA",2
"Port Orange","FL","US",2
"Port St. Lucie","FL","US",2
"Port Washington","NY","US",2
"Portage","IN","US",2
"Portsmouth","ENG","GB",2
"Portsmouth","NH","US",2
"Portsmouth","VA","US",2
"Potomac","MD","US",2
"POTSDAM","BB","DE",2
"Powell","OH","US",2
"Powell","TN","US",2
"Powell River","BC","CA",2
"Prawet","10","TH",2
"Prescott Valley","AZ","US",2
"Preston","ENG","GB",2
"Primm","NV","US",2
"Prince Frederick","MD","US",2
"Princeton","NJ","US",2
"Princeton","WV","US",2
"Pullman","WA","US",2
"Puteaux","J","FR",2
"Quakertown","PA","US",2
